# NASA POWER climatology (power.larc.nasa.gov), annual means on an 8-degree global grid.
# WS50M = mean wind speed at 50 m (m/s); GHI = ALLSKY_SFC_SW_DWN (kWh/m2/day).
lat,lon,ws,ghi
32,-140,6.83,4.523
32,-132,6.67,4.4388
32,-124,7.44,4.596
32,-116,4.25,5.9342
32,-108,6.22,5.8205
32,-100,6.9,5.0986
32,-92,5.03,4.6255
32,-84,5.47,4.6474
32,-76,7.5,4.3882
32,-68,7.34,4.6886
32,-60,7.28,4.7942
32,-52,7.13,4.9272
32,-44,6.87,5.0177
32,-36,6.73,5.0666
32,-28,6.59,4.9985
32,-20,6.92,4.9596
32,-12,7.81,5.1734
32,-4,5.69,5.7329
32,4,6.12,5.8265
32,12,6.18,5.5207
32,20,6.48,5.3119
32,28,6.08,5.5094
32,36,5.83,5.647
32,44,5.66,5.4593
32,52,4.86,5.7322
32,60,6.94,5.8747
32,68,5.44,5.7005
32,76,2.89,4.6236
32,84,6.05,5.8884
32,92,6.44,5.4674
32,100,4.27,5.0021
32,108,2.86,3.3593
32,116,4.75,3.5849
32,124,7.13,3.8201
32,132,6.61,4.0114
32,140,8.38,3.9974
32,148,8.4,4.0978
32,156,8.39,4.2125
32,164,8.31,4.3291
32,172,8.14,4.4386
24,-180,6.89,5.5694
24,-172,6.99,5.5738
24,-164,7.21,5.597
24,-156,7.77,5.5574
24,-148,7.41,5.411
24,-140,7.2,5.0926
24,-132,6.66,4.7153
24,-124,5.9,4.6822
24,-116,5.75,5.3899
24,-108,4.48,5.8582
24,-100,4.27,5.2409
24,-92,6.68,5.3419
24,-84,6.47,5.3822
24,-76,6.46,5.4072
24,-68,6.5,5.4475
24,-60,6.26,5.5567
24,-52,6.41,5.6455
24,-44,6.62,5.6633
24,-36,6.82,5.6714
24,-28,7.12,5.5594
24,-20,7.69,5.6753
24,-12,6.62,6.0989
24,-4,6.3,6.1469
24,4,5.67,6.3271
24,12,6.45,6.703
24,20,6.11,6.5978
24,28,6.79,6.5506
24,36,6.4,6.1181
24,44,6.37,6.2321
24,52,5.24,5.5526
24,60,4.38,5.7857
24,68,6.29,5.5531
24,76,5.1,5.3006
24,84,4.07,4.9997
24,92,2.46,4.6205
24,100,2.72,4.4328
